Шерстов Богдан Максович, Евстигнеев Любомир Святославович
Гибазов Ростислав Иосифович, Ёлкин Демьян Матвеевич
Корчагин Степан Валентинович, Дернов Осип Яковлевич
Воронков Кронид Максимович, Антонова Эмилия Кузминична
Турфанова Лола Кирилловна, Дубинина Феодора Афанасьевна
Подшивалов Камилл Наумович, Мещерякова Дайна Константиновна
Казакова Анфиса Рубеновна, Быкова Филомена Вениаминовна
Антонов Борис Вадимович, Токарев Данила Павлович
Комаров Осип Филиппович, Снеткова Анна Сергеевна
Рюриков Николай Алексеевич, Чадов Макарий Геннадиевич
Ткачёв Эраст Тарасович, Крылов Поликарп Данилович
Циолковская Евдокия Олеговна, Рудников Абрам Сергеевич
Каприянов Корней Тимурович, Михеев Кузьма Давидович
Баринова Тамара Альбертовна, Абакумова Аврора Матвеевна
Крутина Екатерина Васильевна, Маликова Альберта Вячеславовна
Каретников Азарий Валерьевич, Сталин Вацлав Игоревич
Янковский Соломон Евгеньевич, Базанова Франсуаза Евгеньевна
Сюкосева Наина Константиновна, Баранова Вирджиния Тарасовна
Суботин Грегор Васильевич, Ханилов Андриан Данилович
Черепанов Сергей Тарасович, Воликов Вольдемар Феликсович
Иволгин Авксентий Тимурович, Зёмина Розалия Романовна
Шлыков Денис Яковлевич, Худовекова Томила Оскаровна
Волкова Аделина Павловна, Дураничев Эмиль Леонидович
Нежданов Осип Феликсович, Чежекова Аглая Валериевна
Лоскутников Аверкий Эльдарович, Зверева Флора Михайловна
Субботин Аристарх Федорович, Телицына Ванда Вадимовна
Никитин Гавриил Евгеньевич, Туполев Христофор Альбертович
Шашлов Андрон Алексеевич, Самойлов Дорофей Максимович
Конников Митрофан Ростиславович, Рогачёва Рита Максимовна
Сюкосев Аполлон Эдуардович, Жиглов Авенир Ярославович
Аниканов Варфоломей Феликсович, Пирожкова Васса Мироновна
Грачёв Жерар Валерьевич, Лоскутникова Фёкла Антоновна
Ткаченко Нисон Иванович, Горемыкин Феликс Андреевич
Безбородов Евсей Александрович, Чилаева Нинель Романовна
Будников Аверьян Ярославович, Борцов Мауриций Денисович
Климушин Дорофей Константинович, Ерофеева Филиппина Юльевна
Комаров Артур Алексеевич, Суботина Евдокия Геннадиевна
Чеботарёв Святослав Денисович, Кораблёва Агния Леонидовна
Кожухова Аза Григорьевна, Полторак Ратибор Платонович
Горелова Виталия Васильевна, Железнов Витольд Платонович
Евдокимов Поликарп Оскарович, Родзянко Наум Леонидович
Невзорова Таисия Павловна, Летов Ринат Рубенович
Соломонова Жеральдина Эдуардовна, Суслякова Бибиана Васильевна
Федченкова Инесса Феликсовна, Кирилов Эрнест Феликсович
Качусов Арнольд Ефимович, Репин Овидий Борисович
Решетилова Северина Егоровна, Самсонова Фаина Владиславовна
Огородников Патрик Николаевич, Богданов Геракл Макарович
Двойнев Джордан Вениаминович, Дементьева Аза Егоровна
Суриков Евстахий Алексеевич, Арефьев Арнольд Рудольфович
Ясенев Юлий Валентинович, Пугачёва Виктория Петровна
Привалов Сила Сергеевич, Луков Самсон Антонович
Черников Годфрид Алексеевич, Приходько Спиридон Натанович
Ведерников Овидий Рубенович, Переверзев Генрих Эльдарович
Юрнаев Евсевий Львович, Ржевскийа Марфа Болеславовна
Ломтева Бенедикта Леонидовна, Маркина Цецилия Михайловна
Стегнов Глеб Вениаминович, Шуйский Натан Святославович
Цветаев Генрих Матвеевич, Иванков Агафон Наумович
Красноперов Игнатий Анатольевич, Хмельнов Алан Матвеевич
Александрова Болеслава Мироновна, Чупов Корней Семенович
Рюриков Всеволод Георгиевич, Стегнов Вит Юрьевич
Дернова Ростислава Викторовна, Князев Евстахий Тимурович
Ханцева Ника Евгеньевна, Енотина Патриция Андреевна
Ханилов Андриан Данилович, Чукреев Измаил Иванович
Неделяева Жозефина Семеновна, Щеголева Изабелла Павловна
Холодова Петиция Аскольдовна, Игнатьева Елизавета Эльдаровна
Винокуров Мауриций Ярославович, Циолковский Георгий Ефимович
Рябцев Макарий Егорович, Шепкина Бернадета Тимуровна
Рогов Тимур Миронович, Селиванов Измаил Егорович
Сорокин Дмитрий Валентинович, Лебедева Таисия Дмитриевна
Голованов Епифан Альбертович, Двойнев Милон Алексеевич
Мельников Лаврентий Миронович, Марков Роджер Филиппович
Амалиева Медея Евгеньевна, Каширин Бронислав Васильевич
Милюков Конрад Васильевич, Шувалова Дорофея Викторовна
Апалкова Эстер Львовна, Гретченко Оскар Егорович
Ефимов Акакий Артемович, Костина Агния Николаевна
Любимцев Амвросий Богданович, Карчагин Фелициан Михайлович
Рюриков Патрикей Святославович, Глазков Северьян Ростиславович
Антипов Ксенофонт Михайлович, Ланцова Нила Руслановна
Завражнова Виктория Сергеевна, Холодова Рада Павловна
Шерстов Иво Наумович, Стеблева Александра Павловна
Ерофеев Митрофан Леонидович, Жукова Ева Валентиновна
Дубинина Татьяна Ефимовна, Козарь Устин Богуславович
Титов Дмитрий Львович, Савинков Бруно Викторович
Семёнов Владимир Васильевич, Щедрина Далия Артуровна
Ювелев Корней Кириллович, Староверова Клара Артемовна
Черкашина Ефросиния Степановна, Крылов Святослав Олегович
Винокуров Мауриций Ярославович, Черкашин Алан Тарасович
Тянников Эдвард Данилович, Серпионова Майя Вениаминовна
Вахрушев Константин Андреевич, Лачков Арсений Платонович
Путилова Анита Михайловна, Рыжова Рената Николаевна
Федосов Нестор Филиппович, Колесникова Полина Георгиевна
Манин Мануэль Алексеевич, Балашова Астра Васильевна
Дубровская Магдалина Тимуровна, Головаха Августина Максимовна
Дернов Леонтий Робертович, Дубровская Руфина Владиславовна
Лягушкин Нестор Петрович, Янаев Жерар Степанович
Михеев Сила Максович, Щуров Константин Эльдарович
Пищальников Бонавентура Алексеевич, Соломина Дайна Романовна
Беломестов Евдоким Ефимович, Жестаков Наркисс Евгеньевич
Алексеев Анастасий Егорович, Вергунов Никандр Алексеевич
Утёсов Юлиан Оскарович, Илькун Станислава Григорьевна
Бобрик Елизар Рудольфович, Аксёнова Валерия Игоревна
Венедиктов Марсель Тарасович, Филимонов Роберт Егорович
Чеботарёв Жерар Вячеславович, Виноградов Амадей Анатольевич
Коротаев Роберт Ярославович, Зимнякова Октябрина Кирилловна
Перехваткин Валериан Рудольфович, Должикова Фредерика Тимофеевна
Первак Далия Матвеевна, Крюкова Барбара Валентиновна
Убейсобакин Геракл Святославович, Кирсанов Григорий Тарасович
